Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"12517 State Rd 535",Orlando,FL,32836,28.383069,-81.503758,1,rooftop,12517,"State Road 535",,,Orlando,FL,"Orange County",32836,US,"Orange County"
"1505 N. Central Expy",Plano,TX,75075,33.020289,-96.710145,1,range_interpolation,1505,"N Central Expy",,,Plano,TX,"Collin County",75075,US,"TIGER/Line® dataset from the US Census Bureau"
"1930 N. Rock Rd",Wichita,KS,67206,37.719049,-97.243771,1,rooftop,1930,"N Rock Rd",,,Wichita,KS,"Sedgwick County",67206,US,"City of Wichita"
"5000 State Hwy 121",Plano,TX,75024,33.096474,-96.803473,1,rooftop,5000,"State Hwy 121",,,Plano,TX,"Collin County",75024,US,Plano
"1220 Market Place",Irving,TX,75063,32.918074,-96.964508,1,rooftop,1220,"Market Pl",,,Irving,TX,"Dallas County",75063,US,Tarrant
"213 N. Central Expy ",Allen,TX,75013,33.105655,-96.677335,1,rooftop,213,"N Central Expy",,,Allen,TX,"Collin County",75013,US,Plano
"3111 Midwestern Pkwy","Wichita Falls",TX,76308,33.870343,-98.532803,1,range_interpolation,3111,"Midwestern Pkwy",,,"Wichita Falls",TX,"Wichita County",76308,US,"TIGER/Line® dataset from the US Census Bureau"
"2347 N. Maize Rd",Wichita,KS,67205,37.72522,-97.463317,1,rooftop,2347,"N Maize Rd",,,Wichita,KS,"Sedgwick County",67205,US,"City of Wichita"
"4855 Belt Line Rd",Addison,TX,75254,32.954762,-96.828712,1,rooftop,4855,"Belt Line Rd",,,Dallas,TX,"Dallas County",75254,US,Dallas
"8930 State Hwy 121, Ste 530",McKinney,TX,75070,33.129093,-96.732373,1,rooftop,8930,"State Hwy 121",Ste,121,"Mc Kinney",TX,"Collin County",75070,US,Plano
"5960 W. Parker Rd, Ste 210",Plano,TX,75093,33.044229,-96.827892,0.9,rooftop,5960/5964,"W Parker Rd",Ste,210,Plano,TX,"Collin County",75093,US,Plano
"1121 I-20 West",Arlington,TX,76016,32.677962,-97.125567,0.9,rooftop,1121,"W I H 20",,,Arlington,TX,"Tarrant County",76017,US,Tarrant
"709 Texas Ave","College Station ",TX,77840,30.626533,-96.332052,1,rooftop,709,"Texas Ave",,,"College Station",TX,"Brazos County",77840,US,Brazos
"4320 W. Waco Dr",Waco,TX,76710,31.526775,-97.171572,1,rooftop,4320,"W Waco Dr",,,Waco,TX,"McLennan County",76710,US,"City of Waco"
"1003 North I-35 E",DeSoto,TX,75115,32.606205,-96.823901,1,rooftop,1003,"N I 35 E",,,Desoto,TX,"Dallas County",75115,US,Desoto
"1414 Gross Rd",Mesquite,TX,75149,32.784032,-96.626762,1,rooftop,1414,"Gross Rd",,,Mesquite,TX,"Dallas County",75149,US,Dallas
"2001 Hwy 287 N.",Mansfield,TX,76063,32.596242,-97.149194,1,rooftop,2001,"Hwy 287 N",,,Mansfield,TX,"Tarrant County",76063,US,Tarrant
"5244 S State Highway 360, Ste 370","Grand Prairie",TX,75052,32.645333,-97.061315,1,rooftop,5244,"S Hwy 360",Ste,360,"Grand Prairie",TX,"Tarrant County",75052,US,Tarrant
"3130 Knox Street",Dallas,TX,75205,32.823472,-96.788339,1,rooftop,3130,"Knox St",,,Dallas,TX,"Dallas County",75205,US,Dallas
"1890 S. Stemmons Frwy",Lewisville,TX,75067,33.016911,-96.980852,1,rooftop,1890,"S Stemmons Fwy",,,Lewisville,TX,"Denton County",75067,US,Denton
"3500 NW Expressway","Oklahoma City",OK,73112,35.53209,-97.580955,1,rooftop,3500,"Nw Expy",,,"Oklahoma City",OK,"Oklahoma County",73112,US,Oklahoma
"120 S. Meridian","Oklahoma City",OK,73107,35.464762,-97.600564,1,rooftop,120,"S Meridian Ave",,,"Oklahoma City",OK,"Oklahoma County",73107,US,Oklahoma
"2829 S. Interstate 35E",Denton,TX,76210,33.182194,-97.10071,1,rooftop,2829,"S I-35e Int",,,Denton,TX,"Denton County",76210,US,"City of Denton"
"3233 S. Broadway",Edmond,OK,73013,35.623798,-97.485919,0.9,range_interpolation,3233,"S Broadway St",,,Edmond,OK,"Oklahoma County",73013,US,"TIGER/Line® dataset from the US Census Bureau"
"544 Interstate 240","Oklahoma City",OK,73139,35.403562,-97.523788,0.8,rooftop,544,"SW 62nd Ter",,,"Oklahoma City",OK,"Oklahoma County",73139,US,Oklahoma
"890 E Highway 114",Roanoke,TX,76262,32.99912,-97.216308,0.8,rooftop,890,"W Sh 114",,,Roanoke,TX,"Denton County",76262,US,Denton
"433 Planet Ct","Midwest City",OK,73110,35.436011,-97.40965,1,rooftop,433,"Planet Ct",,,"Oklahoma City",OK,"Oklahoma County",73110,US,"City of Midwest City"
"8702 E. 71st Street South",Tulsa,OK,74133,36.060454,-95.878627,1,rooftop,8702,"E 71st St S",,,Tulsa,OK,"Tulsa County",74133,US,Tulsa
"8340 NW Roanridge Rd","Kansas City",MO,64151,39.246198,-94.656459,1,rooftop,8340,"NW Roanridge Rd",,,"Kansas City",MO,"Platte County",64151,US,"City of Kansas City"
"5340 E. 41st Street South",Tulsa,OK,74135,36.103821,-95.915395,1,rooftop,5340,"E 41st St S",,,Tulsa,OK,"Tulsa County",74135,US,Tulsa
"11855 W. 95th St","Overland Park ",KS,66214,38.95604,-94.720424,1,rooftop,11855,"W 95th St",,,"Overland Park",KS,"Johnson County",66214,US,"City of Olathe"
"19921 E Jackson Dr",Independence,MO,64057,39.040533,-94.345629,1,rooftop,19921,"E Jackson Dr",,,Independence,MO,"Jackson County",64057,US,Jackson
"1235 SW Wanamaker Rd",Topeka,KS,66604,39.044388,-95.762334,1,rooftop,1235,"SW Wanamaker Rd",,,Topeka,KS,"Shawnee County",66604,US,"Shawnee County"
"8101 Giacosa Dr",Memphis,TN,38133,35.198572,-89.793346,1,rooftop,8101,"Giacosa Pl",,,Memphis,TN,"Shelby County",38133,US,"City of Memphis"
"190 Pakis St","Hot Springs",AR,71913,34.463755,-93.058374,1,rooftop,190,"Pakis St",,,"Hot Springs National Park",AR,"Garland County",71913,US,"Arkansas Geographic Information Office"
"577 N. 46th St",Rogers,AR,72756,36.340293,-94.178868,1,rooftop,577,"N 46th St",,,Rogers,AR,"Benton County",72756,US,"Arkansas Geographic Information Office"
"11721 Chenal Pkwy","W. Little Rock",AR,72211,34.747311,-92.404034,1,rooftop,11721,"Chenal Pkwy",,,"Little Rock",AR,"Pulaski County",72211,US,Pulaski
"6572 Airways Blvd",Southaven,MS,38671,34.962152,-89.989758,1,range_interpolation,6572,"Airways Blvd",,,Southaven,MS,"DeSoto County",38671,US,"TIGER/Line® dataset from the US Census Bureau"
"6000 Warden Rd",Sherwood,AR,72120,34.812215,-92.205988,1,rooftop,6000,"Warden Rd",,,Sherwood,AR,"Pulaski County",72120,US,Pulaski
"1150 S. Amity Rd",Conway,AR,72032,35.065117,-92.41416,1,rooftop,1150,"S Amity Rd",,,Conway,AR,"Faulkner County",72032,US,"Arkansas Geographic Information Office"
"21091 Haggerty Rd",Novi,MI,48375,42.441464,-83.435781,1,rooftop,21091,"Haggerty Rd",,,Novi,MI,"Oakland County",48375,US,Oakland
"4175 Morse Crossing",Columbus,OH,43219,40.055953,-82.918841,1,rooftop,4175,"Morse Xing",,,Columbus,OH,"Franklin County",43219,US,Franklin
"3930 Baldwin Rd","Auburn Hills",MI,48326,42.700486,-83.305669,1,rooftop,3930,"Baldwin Rd",,,"Auburn Hills",MI,"Oakland County",48326,US,Oakland
"6001 E. 86th St",Indianapolis,IN,46250,39.911931,-86.065949,1,rooftop,6001,"E 86th St",,,Indianapolis,IN,"Marion County",46250,US,Statewide
"10299 East US 36",Avon,IN,46123,39.763495,-86.34253,1,range_interpolation,10299,"Us Hwy 36",,,Avon,IN,"Hendricks County",46123,US,"TIGER/Line® dataset from the US Census Bureau"
"3310 Fairlane Dr","Allen Park",MI,48101,42.281392,-83.206788,0.6,rooftop,3310,Fairlane,,,"Allen Park",MI,"Wayne County",48101,US,Semcog
"867 US 31 North",Greenwood,IN,46142,39.629608,-86.121757,0.9,rooftop,867,"N 31",,,Greenwood,IN,"Johnson County",46142,US,Statewide
"35613 Warren Rd",Westland,MI,48185,42.338682,-83.389114,1,range_interpolation,35613,"Warren Rd",,,Westland,MI,"Wayne County",48185,US,"TIGER/Line® dataset from the US Census Bureau"
"535 N. Lakeview","Vernon Hills",IL,60061,42.236569,-87.950168,1,range_interpolation,535,"N Lakeview Cir",,,"Vernon Hills",IL,"Lake County",60061,US,"TIGER/Line® dataset from the US Census Bureau"
"1915 Glacier Park Ave ",Naperville,IL,60540,41.773152,-88.204868,1,rooftop,1915,"Glacier Park Ave",,,Naperville,IL,"DuPage County",60540,US,Waco
"140 S. Jordan Creek Pkwy","W. Des Moines",IA,50266,41.566189,-93.804781,1,rooftop,140,"S Jordan Creek Pkwy",,,"West Des Moines",IA,"Dallas County",50266,US,Dallas
"3676 Potomac Circle SW",Grandville,MI,49418,42.883192,-85.754686,1,rooftop,3676,"Potomac Cir SW",,,Grandville,MI,"Kent County",49418,US,Kent
"1512 S. Randall Rd",Algonquin,IL,60102,42.15012,-88.336577,1,rooftop,1512,"S Randall Rd",,,Algonquin,IL,"Kane County",60102,US,Mchenry
"3195 28th Street SE R-101",Kentwood,MI,49512,42.916291,-85.587927,0.9,rooftop,3195,"28th St SE",,,"Grand Rapids",MI,"Kent County",49506,US,Kent
"12383 James St",Holland,MI,49424,42.812216,-86.088162,1,range_interpolation,12383,"James St",,,Holland,MI,"Ottawa County",49424,US,"TIGER/Line® dataset from the US Census Bureau"
"11880 Spectrum Ctr",Reston,VA,20190,38.964348,-77.354661,1,rooftop,11880,"Spectrum Ctr",,,Reston,VA,"Fairfax County",20190,US,Fairfax
"2651 Prince William Pkwy",Woodbridge,VA,22192,38.650101,-77.292181,1,rooftop,2651,"Prince William Pkwy",,,Woodbridge,VA,"Prince William County",22192,US,"Prince William"
